//Index   Type   Name                                 Level   MaxLife   MaxMana   DamageMin   DamageMax   Defense   MagicDefense   AttackRate   DefenseRate   MoveRange   AttackType   AttackRange   ViewRange   MoveSpeed   AttackSpeed   RegenTime   Attribute   ItemRate   MoneyRate   MaxItemLevel   MonsterSkill   Resistance1   Resistance2   Resistance3   Resistance4   Resistance5   Resistance6   Resistance7   ElementalAttribute   ElementalPattern   ElementalDefense   ElementalDamageMin   ElementalDamageMax   ElementalAttackRate   ElementalDefenseRate   ExperienceLevel
0         0      "Bull Fighter"                       5       5         0         5           5           5         5              5            5             3           0            1             5           400         1600          5           2           130        20          6              0              0             0             0             0             0             0             0             0                    0                  5                  0                    0                    0                     0                      5   
1         0      "Hound"                              7       7         0         7           7           7         7              7            7             3           0            1             5           400         1600          5           2           130        20          6              0              0             0             0             0             0             0             0             0                    0                  7                  0                    0                    0                     0                      7   
2         0      "Budge Dragon"                       4       4         0         4           4           4         4              4            4             3           0            1             4           400         2000          5           2           120        20          6              0              0             0             0             0             0             0             0             0                    0                  4                  0                    0                    0                     0                      4   
3         0      "Spider"                             2       2         0         2           2           2         2              2            2             2           0            1             5           400         1800          5           2           120        20          6              0              0             0             0             0             0             0             0             0                    0                  2                  0                    0                    0                     0                      2   
4         0      "Elite Bull Fighter"                 9       9         0         9           9           9         9              9            9             3           0            1             4           400         1400          5           2           140        24          6              0              0             0             0             0             0             0             0             0                    0                  9                  0                    0                    0                     0                      9   
5         0      "Hell Hound"                         46      46        0         46          46          46        46             46           46            3           0            1             4           400         1200          5           2           190        28          6              0              1             1             1             3             0             0             0             0                    0                  46                 0                    0                    0                     0                      46  
6         0      "Lich"                               11      11        0         11          11          11        11             11           11            3           2            4             7           400         2000          5           2           150        24          6              0              0             0             0             1             0             0             0             0                    0                  11                 0                    0                    0                     0                      11  
7         0      "Giant"                              14      14        0         14          14          14        14             14           14            2           0            2             3           400         2200          5           2           150        24          6              0              0             0             0             0             0             0             0             0                    0                  14                 0                    0                    0                     0                      14  
8         0      "Poison Bull Fighter"                62      62        0         62          62          62        62             62           62            3           1            1             5           400         1400          5           2           190        46          3              0              6             2             2             2             0             0             0             0                    0                  62                 0                    0                    0                     0                      62  
9         0      "Thunder Lich"                       58      58        0         58          58          58        58             58           58            3           3            4             7           400         2200          5           2           190        28          3              0              2             2             3             2             0             0             0             0                    0                  58                 0                    0                    0                     0                      58  
10        0      "Dark Knight"                        66      66        0         66          66          66        66             66           66            3           0            1             5           400         1400          5           2           200        28          3              0              3             3             3             5             0             0             0             0                    0                  66                 0                    0                    0                     0                      66  
11        0      "Ghost"                              35      35        0         35          35          35        35             35           35            3           0            1             5           400         1400          5           2           190        46          6              0              2             2             2             2             0             0             0             0                    0                  35                 0                    0                    0                     0                      35  
12        0      "Larva"                              24      24        0         24          24          24        24             24           24            3           1            1             4           400         1800          5           2           200        28          6              0              2             0             0             0             0             0             0             0                    0                  24                 0                    0                    0                     0                      24  
13        0      "Hell Spider"                        50      50        0         50          50          50        50             50           50            3           11           4             7           400         1600          5           2           190        28          6              0              3             1             1             1             0             0             0             0                    0                  50                 0                    0                    0                     0                      50  
14        0      "Skeleton"                           16      16        0         16          16          16        16             16           16            2           0            1             4           400         1400          5           2           160        24          6              0              0             0             0             0             0             0             0             0                    0                  16                 0                    0                    0                     0                      16  
15        0      "Skeleton Archer"                    39      39        0         39          39          39        39             39           39            2           0            5             7           400         2000          5           2           190        28          6              0              1             1             1             1             0             0             0             0                    0                  39                 0                    0                    0                     0                      39  
16        0      "Chief Skeleton Warrior"             54      54        0         54          54          54        54             54           54            2           0            1             4           400         1600          5           2           190        28          4              0              1             1             1             1             0             0             0             0                    0                  54                 0                    0                    0                     0                      54  
17        0      "Cyclops"                            29      29        0         29          29          29        29             29           29            3           0            1             4           400         1600          5           2           170        28          6              0              2             0             0             0             0             0             0             0                    0                  29                 0                    0                    0                     0                      29  
18        0      "Gorgon"                             82      82        0         82          82          82        82             82           82            3           0            1             7           400         1600          1800        2           160        28          3              0              6             6             6             6             0             0             0             0                    0                  82                 0                    0                    0                     0                      82  
19        0      "Yeti"                               32      32        0         32          32          32        32             32           32            2           17           4             6           400         2000          5           2           180        28          6              0              0             3             0             0             0             0             0             0                    0                  32                 0                    0                    0                     0                      32  
20        0      "Elite Yeti"                         42      42        0         42          42          42        42             42           42            3           0            1             6           400         1400          5           2           180        46          6              0              1             4             1             1             0             0             0             0                    0                  42                 0                    0                    0                     0                      42  
21        0      "Assassin"                           26      26        0         26          26          26        26             26           26            2           0            1             7           400         2000          5           2           180        28          6              0              0             0             0             0             0             0             0             0                    0                  26                 0                    0                    0                     0                      26  
22        0      "Ice Monster"                        20      20        0         20          20          20        20             20           20            2           7            1             5           400         2000          5           2           170        28          6              0              0             3             0             0             0             0             0             0                    0                  20                 0                    0                    0                     0                      20  
23        0      "Hommerd"                            23      23        0         23          23          23        23             23           23            3           0            1             5           400         1600          5           2           170        28          6              0              0             3             0             0             0             0             0             0                    0                  23                 0                    0                    0                     0                      23  
24        0      "Worm"                               17      17        0         17          17          17        17             17           17            3           0            1             4           400         1600          5           2           160        28          6              0              0             2             0             0             0             0             0             0                    0                  17                 0                    0                    0                     0                      17  
25        0      "Ice Queen"                          75      75        0         75          75          75        75             75           75            3           11           4             7           400         1400          1800        2           180        28          3              0              4             5             4             4             0             0             0             0                    0                  75                 0                    0                    0                     0                      75  
26        0      "Goblin"                             3       3         0         3           3           3         3              3            3             2           0            1             4           400         1800          5           2           120        20          6              0              0             0             0             0             0             0             0             0                    0                  3                  0                    0                    0                     0                      3   
27        0      "Chain Scorpion"                     5       5         0         5           5           5         5              5            5             3           0            1             4           400         1800          5           2           120        20          6              0              0             0             0             0             0             0             0             0                    0                  5                  0                    0                    0                     0                      5   
28        0      "Beetle Monster"                     7       7         0         7           7           7         7              7            7             3           0            1             5           400         1600          5           2           140        20          6              0              0             0             0             0             0             0             0             0                    0                  7                  0                    0                    0                     0                      7   
29        0      "Hunter"                             10      10        0         10          10          10        10             10           10            3           0            4             4           400         1600          5           2           140        24          6              0              0             0             0             0             0             0             0             0                    0                  10                 0                    0                    0                     0                      10  
30        0      "Forest Monster"                     12      12        0         12          12          12        12             12           12            3           0            1             4           400         1600          5           2           150        24          6              0              0             0             0             0             0             0             0             0                    0                  12                 0                    0                    0                     0                      12  
31        0      "Agon"                               13      13        0         13          13          13        13             13           13            2           0            1             4           400         1400          5           2           150        24          6              0              0             0             0             0             0             0             0             0                    0                  13                 0                    0                    0                     0                      13  
32        0      "Stone Golem"                        15      15        0         15          15          15        15             15           15            2           0            2             3           400         2200          5           2           160        24          6              0              0             0             0             0             0             0             0             0                    0                  15                 0                    0                    0                     0                      15  
33        0      "Elite Goblin"                       6       6         0         6           6           6         6              6            6             3           0            1             5           400         1600          5           2           130        20          6              0              0             0             0             0             0             0             0             0                    0                  6                  0                    0                    0                     0                      6   
34        0      "Cursed Wizard"                      80      80        0         80          80          80        80             80           80            3           2            4             7           400         2000          5           2           200        46          3              0              5             5             7             7             0             0             0             0                    0                  80                 0                    0                    0                     0                      80  
35        0      "Death Gorgon"                       105     105       0         105         105         105       105            105          105           3           150          1             7           400         2000          5           2           180        46          3              0              6             6             6             8             0             0             0             0                    0                  105                0                    0                    0                     0                      105 
36        0      "Shadow"                             64      64        0         64          64          64        64             64           64            3           0            1             5           400         1400          5           2           200        28          3              0              3             3             3             5             0             0             0             0                    0                  64                 0                    0                    0                     0                      64  
37        0      "Devil"                              94      94        0         94          94          94        94             94           94            3           3            4             7           400         2000          5           2           200        46          3              0              5             5             5             7             0             0             0             0                    0                  94                 0                    0                    0                     0                      94  
38        0      "Balrog"                             112     112       0         112         112         112       112            112          112           3           150          2             7           400         1600          1800        2           160        46          3              0              10            10            10            15            0             0             0             0                    0                  112                0                    0                    0                     0                      112 
39        0      "Poison Shadow"                      71      71        0         71          71          71        71             71           71            3           1            1             5           400         1400          5           2           200        46          3              0              6             4             4             6             0             0             0             0                    0                  71                 0                    0                    0                     0                      71  
40        0      "Death Knight"                       99      99        0         99          99          99        99             99           99            3           0            1             7           400         1800          5           2           200        46          3              0              6             6             6             7             0             0             0             0                    0                  99                 0                    0                    0                     0                      99  
41        0      "Death Cow"                          87      87        0         87          87          87        87             87           87            3           0            1             7           400         1600          5           2           200        46          3              0              5             5             5             7             0             0             0             0                    0                  87                 0                    0                    0                     0                      87  
42        0      "Red Dragon"                         102     102       0         102         102         102       102            102          102           3           150          5             7           800         2000          14400       2           100        0           4              0              100           254           100           100           0             0             0             0                    0                  102                0                    0                    0                     0                      102 
43        0      "Golden Budge Dragon"                12      12        0         12          12          12        12             12           12            3           0            1             7           400         1400          14400       2           10         20          0              0              2             2             2             2             0             0             0             0                    0                  12                 0                    0                    0                     0                      12  
44        0      "Dragon"                             94      94        0         94          94          94        94             94           94            3           150          2             7           400         1800          1800        2           50         20          0              0              9             7             9             9             0             0             0             0                    0                  94                 0                    0                    0                     0                      94  
45        0      "Bahamut"                            56      56        0         56          56          56        56             56           56            2           0            1             4           400         1600          5           2           185        28          3              0              1             1             1             1             0             0             0             0                    0                  56                 0                    0                    0                     0                      56  
46        0      "Vepar"                              60      60        0         60          60          60        60             60           60            3           17           4             7           400         1600          5           2           185        28          3              0              2             2             3             2             0             0             0             0                    0                  60                 0                    0                    0                     0                      60  
47        0      "Valkyrie"                           62      62        0         62          62          62        62             62           62            3           0            5             7           400         1800          5           2           185        28          3              0              6             2             2             2             0             0             0             0                    0                  62                 0                    0                    0                     0                      62  
48        0      "Lizard King"                        126     126       0         126         126         126       126            126          126           3           3            3             7           400         1600          5           2           175        46          3              0              7             7             7             7             0             0             0             0                    0                  126                0                    0                    0                     0                      126 
49        0      "Hydra"                              142     142       0         142         142         142       142            142          142           3           150          4             7           400         1400          1800        2           175        46          3              0              12            12            12            12            0             0             0             0                    0                  142                0                    0                    0                     0                      142 
51        0      "Great Bahamut"                      112     112       0         112         112         112       112            112          112           3           0            2             7           400         1600          5           2           175        46          3              0              6             6             6             6             0             0             0             0                    0                  112                0                    0                    0                     0                      112 
52        0      "Silver Valkyrie"                    119     119       0         119         119         119       119            119          119           3           7            4             7           400         1600          5           2           175        46          3              0              7             7             7             7             0             0             0             0                    0                  119                0                    0                    0                     0                      119 
53        0      "Golden Titan"                       78      78        0         78          78          78        78             78           78            3           150          3             7           400         2000          14400       2           200        28          3              0              5             5             5             5             0             0             0             0                    0                  78                 0                    0                    0                     0                      78  
54        0      "Golden Soldier"                     62      62        0         62          62          62        62             62           62            3           0            5             7           400         1800          14400       2           200        28          3              0              3             3             3             3             0             0             0             0                    0                  62                 0                    0                    0                     0                      62  
55        0      "Death King"                         201     201       0         201         201         201       201            201          201           2           0            2             6           400         1800          14400       2           110        28          3              0              2             2             2             2             0             0             0             0                    0                  201                0                    0                    0                     0                      201 
56        0      "Death Bone"                         23      23        0         23          23          23        23             23           23            3           0            1             5           400         1600          14400       2           200        28          4              0              1             1             1             1             0             0             0             0                    0                  23                 0                    0                    0                     0                      23  
57        0      "Iron Wheel"                         167     167       0         167         167         167       167            167          167           3           0            4             7           400         1400          5           2           160        100         3              0              9             9             9             9             0             0             0             0                    0                  167                0                    0                    0                     0                      167 
58        0      "Tantalos"                           179     179       0         179         179         179       179            179          179           3           150          2             7           400         1400          5           2           160        100         3              0              9             9             9             9             0             0             0             0                    0                  179                0                    0                    0                     0                      179 
59        0      "Zaikan"                             210     210       0         210         210         210       210            210          210           3           150          5             7           400         1400          1800        2           160        100         3              0              13            13            13            15            0             0             0             0                    0                  210                0                    0                    0                     0                      210 
60        0      "Bloody wolf"                        150     150       0         150         150         150       150            150          150           3           0            2             7           400         1400          5           2           170        100         3              0              8             8             8             8             0             0             0             0                    0                  150                0                    0                    0                     0                      150 
61        0      "Beam Knight"                        184     184       0         184         184         184       184            184          184           3           17           4             7           400         1400          5           2           160        100         3              0              10            10            10            10            0             0             0             0                    0                  184                0                    0                    0                     0                      184 
62        0      "Mutant"                             134     134       0         134         134         134       134            134          134           3           0            1             7           400         1400          5           2           170        100         3              0              8             8             8             8             0             0             0             0                    0                  134                0                    0                    0                     0                      134 
63        0      "Death Beam Knight"                  224     224       0         224         224         224       224            224          224           3           150          5             7           400         1400          5           2           130        100         3              0              13            13            13            17            0             0             0             0                    0                  224                0                    0                    0                     0                      224 
64        0      "Ogre archer"                        126     126       0         126         126         126       126            126          126           3           0            4             7           400         1600          14400       2           200        28          3              0              7             7             7             7             0             0             0             0                    0                  126                0                    0                    0                     0                      126 
65        0      "Elite Ogre"                         142     142       0         142         142         142       142            142          142           3           150          1             7           400         2000          14400       2           180        28          3              0              8             8             8             8             0             0             0             0                    0                  142                0                    0                    0                     0                      142 
